row_index,clip_id,split,label,scenario,session_id,n_frames,feature_hash,seq_hash,raw_hash,source_folder,filename,path
19,clip_01449,train,1,Chair,2,24,0117e7728eb5786b530b,478ab15b7bc69b1e3593,c6006c9886125090e580,f_mask_c_2_keypoints_csv,C_N_378_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_c_2_keypoints_csv/C_N_378_keypoints.csv
20,clip_05411,test,0,Stand,3,60,012345d8bacce2ff1e78,d61344f76f4b212778ab,abd7f6f975d1a623ce91,nf_mask_s_3_keypoints_csv,S_N_220_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_s_3_keypoints_csv/S_N_220_resized_keypoints.csv
21,clip_01213,train,1,Chair,2,47,013322830a3d2ef8462c,53e9db92aae1ea5c6d56,fb86915653f6ae7fe3a0,f_mask_c_2_keypoints_csv,C_N_123_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_c_2_keypoints_csv/C_N_123_resized_keypoints.csv
22,clip_04255,train,0,Chair,2,120,013c97b96c7e870904e5,e38ababad323826896c4,c5ca21883e7ad5d5b46d,nf_mask_c_2_keypoints_csv,C_M_59_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_c_2_keypoints_csv/C_M_59_keypoints.csv
23,clip_03191,train,0,Bed,1,118,0159eb8fb40a7c944191,b7685d1f08de5bab0145,9d777cbe20cc1cd35937,nf_mask_b_1_ketpoints_csv,B_N_392_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_b_1_ketpoints_csv/B_N_392_keypoints.csv
24,clip_01936,train,1,Chair,3,90,015cf0b86ff6b7438a32,3506986bb8daf2fb9553,2ca5cd51d62ea41d8f88,f_mask_c_3_keypoints_csv,C_D_0259_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_c_3_keypoints_csv/C_D_0259_resized_keypoints.csv
25,clip_01498,train,1,Chair,2,50,01696ab63e753e2e4d2f,84ab92608b13809fe97e,fb3ed30f11c3b3862376,f_mask_c_2_keypoints_csv,C_N_421_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_c_2_keypoints_csv/C_N_421_keypoints.csv
26,clip_03625,val,0,Bed,3,174,01aa6268ea9c5cf1aaee,b28a6dfa9e716670a83f,c7973008b83520787765,nf_mask_b_3_ketpoints_csv,B_M_98_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_b_3_ketpoints_csv/B_M_98_keypoints.csv
27,clip_04048,test,0,Chair,1,180,01aa9805f96ee3adbbc4,bb1d9d4324d8a5152a95,cebef0e1e314e7d3f86c,nf_mask_c_1_keypoints_csv,C_D_0239_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_c_1_keypoints_csv/C_D_0239_keypoints.csv
28,clip_01530,train,1,Chair,2,72,01ab569755f2a337a1c7,782ace03243e89656344,be2aa4f9ecf3af3850b5,f_mask_c_2_keypoints_csv,C_N_447_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_c_2_keypoints_csv/C_N_447_resized_keypoints.csv
29,clip_01131,val,1,Chair,1,80,01bc626105c7210d33bc,aeb61d42ccbdf4c3d367,b90b673272d3e55c4461,f_mask_c_1_keypoints_csv,C_M_52_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_c_1_keypoints_csv/C_M_52_keypoints.csv
30,clip_04410,train,0,Chair,3,60,01c202f5378aab4a11ba,aea9d5c7f6ee4e8fae14,0619e61bcb0a5919d16f,nf_mask_c_3_keypoints_csv,C_N_202_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_c_3_keypoints_csv/C_N_202_resized_keypoints.csv
31,clip_03762,test,0,Bed,4,35,01c5049b34d5acb02c16,ced2e8acc8a6d2a7d48e,175ed768e2fedc814b3c,nf_mask_b_4_ketpoints_csv,B_D_0191_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_b_4_ketpoints_csv/B_D_0191_keypoints.csv
32,clip_03847,train,0,Chair,1,150,01c65ec185971162de6a,08d7305119709b056fae,6efc177b497037d7480e,nf_mask_c_1_keypoints_csv,C_D_0021_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_c_1_keypoints_csv/C_D_0021_keypoints.csv
33,clip_02355,train,1,Stand,2,60,01da948e96b0250b8f4f,aa24e66cfd455c8ef032,7b1d30116c8eca458557,f_mask_s_2_keypoints_csv,S_M_24_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_s_2_keypoints_csv/S_M_24_resized_keypoints.csv
34,clip_05665,test,0,Stand,3,30,01f0e6c1fcf4c3394c35,16d6f15a5cf6f47eb3a6,d0d9e83876f9bb485a32,nf_mask_s_3_keypoints_csv,S_N_488_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_s_3_keypoints_csv/S_N_488_resized_keypoints.csv
35,clip_03566,train,0,Bed,3,91,01f74d93f1aec7575014,a84022fd47879183570e,7ff19b2e4c733a2de78f,nf_mask_b_3_ketpoints_csv,B_M_36_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_b_3_ketpoints_csv/B_M_36_keypoints.csv
36,clip_05293,test,0,Stand,3,120,0231862d6ce486e67d44,84fb50cc3b2ecf4a267f,7666285e74056752643f,nf_mask_s_3_keypoints_csv,S_N_104_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_s_3_keypoints_csv/S_N_104_resized_keypoints.csv
37,clip_05710,val,0,Stand,3,30,023b6bccd710e38fb3c8,52bc28b57e9c1b758b5e,cd1ac859193954d75348,nf_mask_s_3_keypoints_csv,S_N_537_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_s_3_keypoints_csv/S_N_537_resized_keypoints.csv
38,clip_05593,test,0,Stand,3,72,02501f5d1ee3b74622a3,a9496a48f6069c2ac522,4c155cb355d81f424248,nf_mask_s_3_keypoints_csv,S_N_41_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_s_3_keypoints_csv/S_N_41_keypoints.csv
39,clip_05539,val,0,Stand,3,75,025ae879df088e3a291b,6942b72613d90ed7ed40,064a78d52cd61e5f814e,nf_mask_s_3_keypoints_csv,S_N_36_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_s_3_keypoints_csv/S_N_36_keypoints.csv
40,clip_02581,train,1,Stand,3,90,0260df2596079953e2fa,864496867e136b2865c0,87b0c863b7a09b56d6eb,f_mask_s_3_keypoints_csv,S_N_232_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_s_3_keypoints_csv/S_N_232_resized_keypoints.csv
41,clip_00551,val,1,Bed,2,180,0262342b8652267745a2,0eba708cc195b5c8158b,614cc7a22df0bf82d6f4,f_mask_b_2_keypoints_csv,B_N_527_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_b_2_keypoints_csv/B_N_527_keypoints.csv
42,clip_05255,train,0,Stand,2,30,027908cc2029004d469c,61afc7498f0b2e447e83,5b31bae5795afc608a34,nf_mask_s_2_keypoints_csv,S_M_75_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_s_2_keypoints_csv/S_M_75_keypoints.csv
43,clip_02558,train,1,Stand,3,61,027fdc6e07c8a4132139,1d42ecff62a97664aebc,29e24cef1dbff4054d9a,f_mask_s_3_keypoints_csv,S_N_211_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_s_3_keypoints_csv/S_N_211_resized_keypoints.csv
44,clip_03904,train,0,Chair,1,89,02871b6a6c3f18dd92bb,ce6485c318720de16216,abbfc3fc4fecd65606f7,nf_mask_c_1_keypoints_csv,C_D_0078_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_c_1_keypoints_csv/C_D_0078_keypoints.csv
45,clip_04418,train,0,Chair,3,90,0289e87779f161163971,350d5a6e361c5b0aeb84,5082092dfcc1df155723,nf_mask_c_3_keypoints_csv,C_N_20_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_c_3_keypoints_csv/C_N_20_keypoints.csv
46,clip_04892,train,0,Stand,1,90,029eb922e4915f033f36,5d67825b5be2daaf7dfd,da1a7440776ce3a86745,nf_mask_s_1_keypoints_csv,S_D_0090_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_s_1_keypoints_csv/S_D_0090_resized_keypoints.csv
47,clip_05262,train,0,Stand,2,60,02a1a85650c72ddf2e03,5a0bb14d2c59bc68e7a0,4d20186edec3a4d7f77a,nf_mask_s_2_keypoints_csv,S_M_82_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_s_2_keypoints_csv/S_M_82_keypoints.csv
48,clip_02328,train,1,Stand,2,90,02b459dd818ad4edb8a4,26b633ccdcbcd75d3de3,0ab834cdfaa8ed962fb5,f_mask_s_2_keypoints_csv,S_M_21_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_s_2_keypoints_csv/S_M_21_resized_keypoints.csv
49,clip_03659,train,0,Bed,4,86,02bdcddc513265b24ef4,91407644606581613c2e,856a964b4645474227a0,nf_mask_b_4_ketpoints_csv,B_D_0036_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_b_4_ketpoints_csv/B_D_0036_keypoints.csv
50,clip_03720,train,0,Bed,4,90,02cc9010ee38dcf6557b,d0f3be8f847ae297d4de,0165acd1896008323ace,nf_mask_b_4_ketpoints_csv,B_D_0117_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_b_4_ketpoints_csv/B_D_0117_keypoints.csv
51,clip_01062,train,1,Chair,1,120,02e2e2c4e5cbd160bcca,61eae8599b281bf6e957,722cb7f9d427651e548a,f_mask_c_1_keypoints_csv,C_M_192_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_c_1_keypoints_csv/C_M_192_resized_keypoints.csv
52,clip_02504,train,1,Stand,3,85,02e46b76eab64b5e8c46,023a67d5ae384fb75783,48fb538e34d1687fa86c,f_mask_s_3_keypoints_csv,S_N_161_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_s_3_keypoints_csv/S_N_161_keypoints.csv
53,clip_01266,train,1,Chair,2,120,0309e300aab61e19e2f3,ea779303ea30f61507d5,8ff358e1908af2037146,f_mask_c_2_keypoints_csv,C_N_171_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_c_2_keypoints_csv/C_N_171_resized_keypoints.csv
54,clip_02457,train,1,Stand,3,90,03119711b620fccbaa8e,c7e38c8e0fe08d7d6442,76dfd433f76f5af3268e,f_mask_s_3_keypoints_csv,S_N_116_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_s_3_keypoints_csv/S_N_116_resized_keypoints.csv
55,clip_03142,train,0,Bed,1,180,03450ccdfeb36b70c3ba,da32208d759da05c2ea5,98deef0d7cebf626ae9c,nf_mask_b_1_ketpoints_csv,B_N_331_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_b_1_ketpoints_csv/B_N_331_keypoints.csv
56,clip_05275,train,0,Stand,2,48,034b37773f246526be72,33dab056fcfc75097f28,76c135bd53548f085ae0,nf_mask_s_2_keypoints_csv,S_M_95_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_s_2_keypoints_csv/S_M_95_resized_keypoints.csv
57,clip_01824,train,1,Chair,3,77,03519dd8bb0960e9501f,3fece49982b431afa7b8,5e650f414ceab9075e4b,f_mask_c_3_keypoints_csv,C_D_0137_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_c_3_keypoints_csv/C_D_0137_resized_keypoints.csv
58,clip_05349,val,0,Stand,3,30,035e61e5a07a1ddfa6c2,0189828a87989ac12e4e,e7edf026e544d9dbc95f,nf_mask_s_3_keypoints_csv,S_N_159_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_s_3_keypoints_csv/S_N_159_keypoints.csv
59,clip_02045,train,1,Stand,1,54,035ec3280a005f09c649,154658067f81c11fdce0,8dce6bb59a751f7743b4,f_mask_s_1_keypoints_csv,S_D_0112_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_s_1_keypoints_csv/S_D_0112_keypoints.csv
60,clip_00990,train,1,Chair,1,90,0365b5022eee10d70d1e,3b44608b946c59b1495c,09ce31b78f2be38e75b1,f_mask_c_1_keypoints_csv,C_M_127_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_c_1_keypoints_csv/C_M_127_keypoints.csv
61,clip_04902,train,0,Stand,1,150,03698ef32633316bc050,cebc2c6af5acdc2dc0a4,afada2f14216f3e66166,nf_mask_s_1_keypoints_csv,S_D_0100_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_s_1_keypoints_csv/S_D_0100_resized_keypoints.csv
62,clip_00684,train,1,Bed,3,40,036ce367e2106460d02f,5ad3b624aaba1352f578,0aa320da110dcacf622a,f_mask_b_3_keypoints_csv,B_N_38_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_b_3_keypoints_csv/B_N_38_keypoints.csv
63,clip_00638,val,1,Bed,3,47,036ece39bb5ebabc33e5,f3b5dc07842d3376c3ea,56193021116e2452ecab,f_mask_b_3_keypoints_csv,B_N_153_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_b_3_keypoints_csv/B_N_153_resized_keypoints.csv
64,clip_04636,test,0,Chair,3,180,038b8edf968b4ab2c3b6,38d5976cfa23c14313cd,1d4990d35fb3066ab40b,nf_mask_c_3_keypoints_csv,C_N_449_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_c_3_keypoints_csv/C_N_449_keypoints.csv
65,clip_02632,train,1,Stand,3,40,03962f84b6fb47ea87e1,3ef8ab1814b969194e6e,18dbbd947250699d1499,f_mask_s_3_keypoints_csv,S_N_28_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_s_3_keypoints_csv/S_N_28_keypoints.csv
66,clip_01639,val,1,Chair,2,60,039796c26f72de218df1,1e2f494e8a0acbdcc1af,646d642da71a8e614291,f_mask_c_2_keypoints_csv,C_N_547_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_c_2_keypoints_csv/C_N_547_keypoints.csv
67,clip_03683,train,0,Bed,4,78,03b6150fa76bf593b59d,1399e1f3466645a12cad,a0788f20d5d57cd790d2,nf_mask_b_4_ketpoints_csv,B_D_0068_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_b_4_ketpoints_csv/B_D_0068_keypoints.csv
68,clip_01553,train,1,Chair,2,60,03c4f83e9b3d3c880e97,8a54861626fc4b0155c5,06aa2ba171160b299cf8,f_mask_c_2_keypoints_csv,C_N_468_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_c_2_keypoints_csv/C_N_468_resized_keypoints.csv
69,clip_05154,test,0,Stand,2,61,03cbf79c23ebe6888370,4c7587dff97e696ab170,82f911b4d182d5b5173d,nf_mask_s_2_keypoints_csv,S_M_180_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_s_2_keypoints_csv/S_M_180_resized_keypoints.csv
70,clip_03560,train,0,Bed,3,90,03d0369da71178a120a5,f422242f812f12670875,c0a7da7f669b1f1da19d,nf_mask_b_3_ketpoints_csv,B_M_30_resized_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_b_3_ketpoints_csv/B_M_30_resized_keypoints.csv
71,clip_04586,train,0,Chair,3,120,03ecc48c012d5d692e24,d8c1220098c4f08e0aa3,13aeefc23c0f8badb14f,nf_mask_c_3_keypoints_csv,C_N_403_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/nf_mask_c_3_keypoints_csv/C_N_403_keypoints.csv
72,clip_02263,train,1,Stand,2,60,03f11ffca17f8c3c3055,61265e3e0f7185d3983b,c0aaf6a3bab7e571fb9a,f_mask_s_2_keypoints_csv,S_M_160_keypoints.csv,/Users/rudrachopra/Documents/Codex/2026-06-10/files-mentioned-by-the-user-paper/work/revised_paper/data/fallvision_extracted/f_mask_s_2_keypoints_csv/S_M_160_keypoints.csv
